OrderID,Product,Category,Price,Quantity,City
1001,Laptop,Electronics,55000,1,Jaipur
1002,Mouse,Electronics,500,3,Delhi
1003,Keyboard,Electronics,1200,2,Mumbai
1004,T-Shirt,Clothing,800,4,Jaipur
1005,Jeans,Clothing,1500,2,Delhi
1006,Shoes,Footwear,2500,1,Mumbai
1007,Mobile,Electronics,18000,2,Jaipur
1008,Watch,Accessories,3000,1,Delhi
1009,Bag,Accessories,1200,3,Mumbai
1010,Headphones,Electronics,2000,2,Jaipur
1011,Laptop,Electronics,55000,1,Delhi
1012,T-Shirt,Clothing,800,5,Mumbai
1013,Mouse,Electronics,500,4,Jaipur
1014,Shoes,Footwear,2500,2,Delhi
1015,Bag,Accessories,1200,2,Mumbai
1016,Mobile,Electronics,18000,1,Jaipur
1017,Keyboard,Electronics,1200,3,Delhi
1018,Watch,Accessories,3000,2,Mumbai
1019,Jeans,Clothing,1500,3,Jaipur
1020,Headphones,Electronics,2000,1,Delhi
1021,Laptop,Electronics,55000,1,Mumbai
1022,Mouse,Electronics,500,5,Jaipur
1023,T-Shirt,Clothing,800,2,Delhi
1024,Shoes,Footwear,2500,1,Mumbai
1025,Mobile,Electronics,18000,2,Jaipur
1026,Watch,Accessories,3000,1,Delhi
1027,Bag,Accessories,1200,4,Mumbai
1028,Keyboard,Electronics,1200,2,Jaipur
1029,Jeans,Clothing,1500,1,Delhi
1030,Headphones,Electronics,2000,3,Mumbai
